"","ens_gene_5"
"824","ENSG00000023902"
"825","ENSG00000143401"
"826","ENSG00000117362"
"827","ENSG00000118292"
"828","ENSG00000266472"
"829","ENSG00000117360"
"830","ENSG00000163125"
"831","ENSG00000143374"
"832","ENSG00000237781"
"833","ENSG00000143382"
"834","ENSG00000203804"
"835","ENSG00000277452"
"836","ENSG00000274963"
"837","ENSG00000143384"
"838","ENSG00000143420"
"839","ENSG00000143457"
"840","ENSG00000163131"
"841","ENSG00000143387"
"842","ENSG00000143437"
"843","ENSG00000143379"
"844","ENSG00000143418"
"845","ENSG00000143409"
"846","ENSG00000143363"
"847","ENSG00000197622"
"848","ENSG00000213190"
"849","ENSG00000143458"
"850","ENSG00000163154"
"851","ENSG00000163156"
"852","ENSG00000163159"
"853","ENSG00000143398"
"854","ENSG00000159352"
"855","ENSG00000232671"
"856","ENSG00000143373"
"857","ENSG00000143393"
"858","ENSG00000143390"
"859","ENSG00000159377"
"860","ENSG00000143442"
"861","ENSG00000143375"
"862","ENSG00000143367"
"863","ENSG00000143376"
"864","ENSG00000143436"
"865","ENSG00000159445"
"866","ENSG00000163191"
"867","ENSG00000159450"
"868","ENSG00000163220"
"869","ENSG00000143546"
"870","ENSG00000197956"
"871","ENSG00000196154"
"872","ENSG00000189171"
"873","ENSG00000160679"
"874","ENSG00000143553"
"875","ENSG00000143621"
"876","ENSG00000143624"
"877","ENSG00000143554"
"878","ENSG00000143614"
"879","ENSG00000223599"
"880","ENSG00000198837"
"881","ENSG00000160741"
"882","ENSG00000143570"
"883","ENSG00000143578"
"884","ENSG00000143543"
"885","ENSG00000177954"
"886","ENSG00000143552"
"887","ENSG00000143549"
"888","ENSG00000264384"
"889","ENSG00000143612"
"890","ENSG00000143569"
"891","ENSG00000143575"
"892","ENSG00000143515"
"893","ENSG00000160712"
"894","ENSG00000160714"
"895","ENSG00000160710"
"896","ENSG00000163344"
"897","ENSG00000163346"
"898","ENSG00000163348"
"899","ENSG00000160691"
"900","ENSG00000173207"
"901","ENSG00000160688"
"902","ENSG00000160685"
"903","ENSG00000143537"
"904","ENSG00000243364"
"905","ENSG00000169241"
"906","ENSG00000179085"
"907","ENSG00000163463"
"908","ENSG00000169231"
"909","ENSG00000173171"
"910","ENSG00000160766"
"911","ENSG00000236675"
"912","ENSG00000177628"
"913","ENSG00000160767"
"914","ENSG00000116521"
"915","ENSG00000176444"
"916","ENSG00000143630"
"917","ENSG00000160752"
"918","ENSG00000225855"
"919","ENSG00000160753"
"920","ENSG00000116539"
"921","ENSG00000227773"
"922","ENSG00000235919"
"923","ENSG00000125459"
"924","ENSG00000163374"
"925","ENSG00000132676"
"926","ENSG00000203761"
"927","ENSG00000116580"
"928","ENSG00000143622"
"929","ENSG00000132680"
"930","ENSG00000116584"
"931","ENSG00000273002"
"932","ENSG00000163479"
"933","ENSG00000160803"
"934","ENSG00000116586"
"935","ENSG00000254726"
"936","ENSG00000160789"
"937","ENSG00000160785"
"938","ENSG00000160783"
"939","ENSG00000160781"
"940","ENSG00000198952"
"941","ENSG00000163472"
"942","ENSG00000198715"
"943","ENSG00000163468"
"944","ENSG00000116604"
"945","ENSG00000183856"
"946","ENSG00000163382"
"947","ENSG00000160818"
"948","ENSG00000272068"
"949","ENSG00000272405"
"950","ENSG00000229953"
"951","ENSG00000143319"
"952","ENSG00000143303"
"953","ENSG00000143314"
"954","ENSG00000143321"
"955","ENSG00000143294"
"956","ENSG00000132694"
"957","ENSG00000117036"
"958","ENSG00000132704"
"959","ENSG00000163534"
"960","ENSG00000158473"
"961","ENSG00000229914"
"962","ENSG00000176320"
"963","ENSG00000158481"
"964","ENSG00000158488"
"965","ENSG00000163554"
"966","ENSG00000163563"
"967","ENSG00000163564"
"968","ENSG00000163565"
"969","ENSG00000158716"
"970","ENSG00000158714"
"971","ENSG00000213085"
"972","ENSG00000158710"
"973","ENSG00000260766"
"974","ENSG00000143315"
"975","ENSG00000162729"
"976","ENSG00000162734"
"977","ENSG00000132716"
"978","ENSG00000162735"
"979","ENSG00000122218"
"980","ENSG00000202078"
"981","ENSG00000162736"
"982","ENSG00000162739"
"983","ENSG00000066294"
"984","ENSG00000117091"
"985","ENSG00000026751"
"986","ENSG00000122223"
"987","ENSG00000158769"
"988","ENSG00000215845"
"989","ENSG00000158773"
"990","ENSG00000186517"
"991","ENSG00000143256"
"992","ENSG00000158793"
"993","ENSG00000158796"
"994","ENSG00000143222"
"995","ENSG00000143258"
"996","ENSG00000143224"
"997","ENSG00000158850"
"998","ENSG00000158864"
"999","ENSG00000158869"
"1000","ENSG00000158882"
"1001","ENSG00000158887"
"1002","ENSG00000143252"
"1003","ENSG00000283696"
"1004","ENSG00000206921"
"1005","ENSG00000215840"
"1006","ENSG00000143226"
"1007","ENSG00000244682"
"1008","ENSG00000225217"
"1009","ENSG00000072694"
"1010","ENSG00000081721"
"1011","ENSG00000118217"
"1012","ENSG00000229808"
"1013","ENSG00000152332"
"1014","ENSG00000117143"
"1015","ENSG00000132196"
"1016","ENSG00000143248"
"1017","ENSG00000232995"
"1018","ENSG00000143228"
"1019","ENSG00000185630"
"1020","ENSG00000143198"
"1021","ENSG00000143149"
"1022","ENSG00000143183"
"1023","ENSG00000224358"
"1024","ENSG00000143179"
"1025","ENSG00000143157"
"1026","ENSG00000152382"
"1027","ENSG00000143195"
"1028","ENSG00000143190"
"1029","ENSG00000272033"
"1030","ENSG00000143162"
"1031","ENSG00000241666"
"1032","ENSG00000198771"
"1033","ENSG00000197965"
"1034","ENSG00000143158"
"1035","ENSG00000143164"
"1036","ENSG00000224837"
"1037","ENSG00000143147"
"1038","ENSG00000143155"
"1039","ENSG00000213064"
"1040","ENSG00000143178"
"1041","ENSG00000143153"
"1042","ENSG00000143156"
"1043","ENSG00000117475"
"1044","ENSG00000117479"
"1045","ENSG00000174175"
"1046","ENSG00000000460"
"1047","ENSG00000188404"
"1048","ENSG00000171806"
"1049","ENSG00000000457"
"1050","ENSG00000075945"
"1051","ENSG00000120370"
"1052","ENSG00000076258"
"1053","ENSG00000117523"
"1054","ENSG00000117533"
"1055","ENSG00000010165"
"1056","ENSG00000197959"
"1057","ENSG00000135845"
"1058","ENSG00000094975"
"1059","ENSG00000117586"
"1060","ENSG00000231615"
"1061","ENSG00000203739"
"1062","ENSG00000117592"
"1063","ENSG00000076321"
"1064","ENSG00000120334"
"1065","ENSG00000117593"
"1066","ENSG00000234741"
"1067","ENSG00000185278"
