"","distance","condition","norm","proportion"
"2212",73800000,"control",0.6172118219,0.000155123679106751
"2213",73800000,"mig14",0.6221499227,0.000139330477826315
"2214",73800000,"mig5",0.5483987155,0.000201531114233591
"2215",73900000,"control",0.5706233942,0.000143414622260795
"2216",73900000,"mig14",0.6489110726,0.000145323637459875
"2217",73900000,"mig5",0.5486807569,0.000201634761663819
"2218",7.4e+07,"control",0.5746529733,0.000144427375278583
"2219",7.4e+07,"mig14",0.5968267855,0.000133659361143015
"2220",7.4e+07,"mig5",0.5914580541,0.000217354996093539
"2221",74100000,"control",0.6416058967,0.000161254635282756
"2222",74100000,"mig14",0.6266107819,0.000140329487263067
"2223",74100000,"mig5",0.52271998022,0.000192094432514945
"2224",74200000,"control",0.5464167111,0.000137330763189717
"2225",74200000,"mig14",0.6316417298,0.000141456168066601
"2226",74200000,"mig5",0.56693617152,0.000208343446321861
"2227",74300000,"control",0.6064639071,0.000152422408607152
"2228",74300000,"mig14",0.59155994572,0.000132479852351955
"2229",74300000,"mig5",0.504282501,0.000185318840913718
"2230",74400000,"control",0.58415290357,0.000146814990166133
"2231",74400000,"mig14",0.586732228,0.000131398684948094
"2232",74400000,"mig5",0.497967182,0.000182998023525132
"2233",74500000,"control",0.58611190759,0.000147307346112964
"2234",74500000,"mig14",0.6331267705,0.000141788742937662
"2235",74500000,"mig5",0.5761849852,0.000211742294046312
"2236",74600000,"control",0.5549677484,0.000139479893065537
"2237",74600000,"mig14",0.60564347991,0.000135633859893514
"2238",74600000,"mig5",0.55953255921,0.000205622691885324
"2239",74700000,"control",0.56489755966,0.00014197554982523
"2240",74700000,"mig14",0.6068059184,0.000135894187998278
"2241",74700000,"mig5",0.51373942234,0.000188794166148811
"2242",74800000,"control",0.5578358045,0.000140200720824064
"2243",74800000,"mig14",0.591172352,0.000132393050736718
"2244",74800000,"mig5",0.589246414,0.00021654224018978
"2245",74900000,"control",0.5743053847,0.000144340015930407
"2246",74900000,"mig14",0.608036245,0.000136169719645564
"2247",74900000,"mig5",0.4506145509,0.000165596399054195
"2248",7.5e+07,"control",0.58259532443,0.000146423524225067
"2249",7.5e+07,"mig14",0.58743196886,0.000131555391916657
"2250",7.5e+07,"mig5",0.5312912019,0.000195244271868486
"2251",75100000,"control",0.5546499042,0.000139400009369313
"2252",75100000,"mig14",0.61934510627,0.000138702339174925
"2253",75100000,"mig5",0.49950469838,0.000183563045616643
"2254",75200000,"control",0.5915896697,0.000148684070572258
"2255",75200000,"mig14",0.6031394178,0.000135073075173363
"2256",75200000,"mig5",0.5161092866,0.000189665067869404
"2257",75300000,"control",0.5873135903,0.000147609364701203
"2258",75300000,"mig14",0.529492705,0.000118579893529573
"2259",75300000,"mig5",0.5441896526,0.0001999843251691
"2260",75400000,"control",0.55939655402,0.000140592983575872
"2261",75400000,"mig14",0.5763533652,0.000129074338580032
"2262",75400000,"mig5",0.50889102904,0.000187012429473697
"2263",75500000,"control",0.5618660926,0.000141213652034629
"2264",75500000,"mig14",0.59980286253,0.000134325853606501
"2265",75500000,"mig5",0.52315882408,0.000192255703301292
"2266",75600000,"control",0.58398566229,0.000146772957460777
"2267",75600000,"mig14",0.5631955037,0.000126127635441323
"2268",75600000,"mig5",0.5273269959,0.000193787465297553
"2269",75700000,"control",0.6085070777,0.000152935918117613
"2270",75700000,"mig14",0.5812983764,0.000130181773859237
"2271",75700000,"mig5",0.52539212802,0.000193076420452389
"2272",75800000,"control",0.5713449404,0.000143595968270735
"2273",75800000,"mig14",0.5855902943,0.000131142948891137
"2274",75800000,"mig5",0.4858777678,0.000178555283151577
"2275",75900000,"control",0.5789850426,0.000145516153075957
"2276",75900000,"mig14",0.58304340629,0.0001305725733105
"2277",75900000,"mig5",0.4752781658,0.000174660034054313
"2278",7.6e+07,"control",0.56288462465,0.000141469639417369
"2279",7.6e+07,"mig14",0.62300033548,0.000139520927772001
"2280",7.6e+07,"mig5",0.5388580335,0.000198025007782821
"2281",76100000,"control",0.5307055464,0.000133382080444442
"2282",76100000,"mig14",0.60282648566,0.000135002994019284
"2283",76100000,"mig5",0.49223161967,0.000180890260989497
"2284",76200000,"control",0.5395526208,0.000135605613243983
"2285",76200000,"mig14",0.5530607591,0.000123857959345186
"2286",76200000,"mig5",0.480982843,0.000176756446609566
"2287",76300000,"control",0.54819550042,0.000137777825825077
"2288",76300000,"mig14",0.56911722241,0.000127453804371533
"2289",76300000,"mig5",0.51826189188,0.000190456129059597
"2290",76400000,"control",0.5484040153,0.00013783023181308
"2291",76400000,"mig14",0.6100617951,0.000136623341599046
"2292",76400000,"mig5",0.4936991381,0.000181429559525393
"2293",76500000,"control",0.5633213793,0.000141579408844608
"2294",76500000,"mig14",0.5587393068,0.000125129670126676
"2295",76500000,"mig5",0.4885440927,0.000179535131230754
"2296",76600000,"control",0.5641200825,0.000141780146702345
"2297",76600000,"mig14",0.5253069584,0.000117642495560757
"2298",76600000,"mig5",0.5099482475,0.00018740094682104
"2299",76700000,"control",0.5664427802,0.000142363909682723
"2300",76700000,"mig14",0.5892552345,0.000131963712264465
"2301",76700000,"mig5",0.4471842192,0.000164335786018183
"2302",76800000,"control",0.5667785803,0.000142448306230404
"2303",76800000,"mig14",0.5615423331,0.000125757407878444
"2304",76800000,"mig5",0.4846004312,0.000178085874560759
"2305",76900000,"control",0.5401050194,0.000135744447433681
"2306",76900000,"mig14",0.531000949,0.000118917664779767
"2307",76900000,"mig5",0.4603884101,0.000169188195824073
"2308",7.7e+07,"control",0.5520540555,0.000138747595422495
"2309",7.7e+07,"mig14",0.5636147371,0.00012622152276303
"2310",7.7e+07,"mig5",0.4910089,0.000180440923581284
"2311",77100000,"control",0.5089278385,0.000127908695048873
"2312",77100000,"mig14",0.5853509628,0.000131089350600698
"2313",77100000,"mig5",0.44919343411,0.000165074152662929
"2314",77200000,"control",0.5894774896,0.000148153216922956
"2315",77200000,"mig14",0.5789544409,0.000129656849494074
"2316",77200000,"mig5",0.5165080301,0.000189811602169316
"2317",77300000,"control",0.5620467667,0.000141259060806978
"2318",77300000,"mig14",0.500332644,0.000112049497744996
"2319",77300000,"mig5",0.516402034,0.000189772649648944
"2320",77400000,"control",0.5505111793,0.000138359824767336
"2321",77400000,"mig14",0.5454711047,0.000122158256210129
"2322",77400000,"mig5",0.5054136118,0.000185734512966556
"2323",77500000,"control",0.5116903954,0.000128603007722195
"2324",77500000,"mig14",0.6147299058,0.000137668765010102
"2325",77500000,"mig5",0.4858765807,0.000178554846904046
"2326",77600000,"control",0.5526217572,0.000138890275736148
"2327",77600000,"mig14",0.5822408085,0.000130392831532027
"2328",77600000,"mig5",0.486392596,0.000178744477432768
"2329",77700000,"control",0.5481957363,0.000137777885108733
"2330",77700000,"mig14",0.5909836277,0.000132350785928933
"2331",77700000,"mig5",0.503579976,0.000185060669911443
"2332",77800000,"control",0.5123084696,0.000128758348142555
"2333",77800000,"mig14",0.5137422179,0.000115052571876752
"2334",77800000,"mig5",0.543887481,0.000199873280089094
"2335",77900000,"control",0.5098829038,0.000128148731350619
"2336",77900000,"mig14",0.5390979572,0.000120730989800485
"2337",77900000,"mig5",0.5137955262,0.000188814783763512
"2338",7.8e+07,"control",0.5655029003,0.000142127689923423
"2339",7.8e+07,"mig14",0.5506476714,0.000123317548344541
"2340",7.8e+07,"mig5",0.4616587745,0.00016965504220022
"2341",78100000,"control",0.532331609,0.000133790758314858
"2342",78100000,"mig14",0.551520761,0.000123513076764162
"2343",78100000,"mig5",0.53586389262,0.000196924690567146
"2344",78200000,"control",0.4832544083,0.000121456198828605
"2345",78200000,"mig14",0.5485132068,0.000122839534988321
"2346",78200000,"mig5",0.4675374656,0.000171815403145883
"2347",78300000,"control",0.524372135,0.00013179030588212
"2348",78300000,"mig14",0.5160222966,0.000115563195511284
"2349",78300000,"mig5",0.40283460552,0.000148037740803743
"2350",78400000,"control",0.5256312556,0.000132106760319609
"2351",78400000,"mig14",0.5837193379,0.000130723948197425
"2352",78400000,"mig5",0.5092548287,0.00018714612225737
"2353",78500000,"control",0.5046688711,0.000126838289932117
"2354",78500000,"mig14",0.5316634568,0.000119066033404386
"2355",78500000,"mig5",0.5000530884,0.000183764573535366
"2356",78600000,"control",0.488280382,0.000122719375429853
"2357",78600000,"mig14",0.4824752869,0.000108050342546744
"2358",78600000,"mig5",0.5294218834,0.000194557315773378
"2359",78700000,"control",0.4936545127,0.000124070054235094
"2360",78700000,"mig14",0.5141992519,0.00011515492464299
"2361",78700000,"mig5",0.434962578,0.000159844453527454
"2362",78800000,"control",0.5105072251,0.000128305641852921
"2363",78800000,"mig14",0.5357954927,0.000119991402861709
"2364",78800000,"mig5",0.4824309738,0.000177288620382828
"2365",78900000,"control",0.4789441405,0.000120372900396288
"2366",78900000,"mig14",0.4680555868,0.000104821050648216
"2367",78900000,"mig5",0.4210838273,0.00015474414965422
"2368",7.9e+07,"control",0.4727055571,0.000118804958929381
"2369",7.9e+07,"mig14",0.5015919694,0.000112331523673665
"2370",7.9e+07,"mig5",0.4908108224,0.000180368132018677
"2371",79100000,"control",0.5033716863,0.000126512268829608
"2372",79100000,"mig14",0.52930009253,0.0001185367579661
"2373",79100000,"mig5",0.396395383,0.000145671390094715
"2374",79200000,"control",0.4907564382,0.00012334168196027
"2375",79200000,"mig14",0.4658509982,0.000104327333021899
"2376",79200000,"mig5",0.5024608664,0.000184649408181131
"2377",79300000,"control",0.542935265,0.00013645577228954
"2378",79300000,"mig14",0.5066139598,0.000113456198445037
"2379",79300000,"mig5",0.4063449662,0.000149327763699871
"2380",79400000,"control",0.5020884625,0.000126189756541427
